Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-11-04 12:05:55.00,2016-11-04 07:05:55.00,93.4498575925827,46.800454,-92.112729,5,350.2680053710938,4,116.9369023030691,1.289999961853027,1.302971133425775,221.8359375,223.7718811035156,224.6991729736328,20,44.83291616551542
2016-11-04 12:05:59.00,2016-11-04 07:05:59.00,97.44985783100128,46.800424,-92.112778,5,350.621826171875,4,122.0053941502512,1.330000042915344,1.302971133425775,237.65625,222.4022827148438,223.3295745849609,20,22.84108728072091
2016-11-04 12:06:03.00,2016-11-04 07:06:03.00,101.4498580694199,46.800394,-92.112832,5,351.0000610351562,6,127.2525194792256,1.470000028610229,1.302971133425775,230.625,229.4222564697266,230.3495483398438,20,18.08159861271498
2016-11-04 12:06:05.16,2016-11-04 07:06:05.16,101.4498580694199,46.800394,-92.112832,5,351.1109008789062,6,127.2525194792256,1.470000028610229,1.438553784631132,230.625,229.4222564697266,230.3495483398438,20,18.08159861271498
2016-11-04 12:06:07.00,2016-11-04 07:06:07.00,105.4498572945595,46.800363,-92.112888,5,351.2260131835938,4,132.7427687073027,1.269999980926514,1.438553784631132,232.03125,235.0729675292969,236.0002593994141,20,18.64547172920815
2016-11-04 12:06:11.00,2016-11-04 07:06:11.00,109.449857711792,46.800331,-92.112937,5,351.9841918945312,4,137.943205883195,1.259999990463257,1.438553784631132,228.515625,233.3898773193359,234.3171691894531,20,15.22901720291101
2016-11-04 12:06:15.00,2016-11-04 07:06:15.00,113.449856698513,46.800298,-92.112986,5,351.7151489257812,4,143.1366905998612,1.159999966621399,1.438553784631132,234.84375,231.1260223388672,232.0533142089844,20,13.54568079361448
2016-11-04 12:06:19.00,2016-11-04 07:06:19.00,117.4498575925827,46.800275,-92.113047,5,350.861328125,4,148.4810405604932,1.100000023841858,1.438553784631132,234.84375,243.3813934326172,244.3086853027344,20,15.44364543253377
2016-11-04 12:06:20.16,2016-11-04 07:06:20.16,117.4498575925827,46.800275,-92.113047,5,350.861328125,4,148.4810405604932,1.100000023841858,1.224430109387663,234.84375,243.3813934326172,244.3086853027344,20,15.44364543253377
2016-11-04 12:06:23.00,2016-11-04 07:06:23.00,121.4498575925827,46.800253,-92.113106,5,350.237548828125,3,153.5717607918744,1.070000052452087,1.224430109387663,235.546875,244.5414886474609,245.4687805175781,20,24.15542441795903
2016-11-04 12:06:27.00,2016-11-04 07:06:27.00,125.4498575329781,46.800236,-92.113170,5,351.7032470703125,3,158.8274865615147,1.059999942779541,1.224430109387663,245.7421875,245.0244598388672,245.9517517089844,20,40.8167932870512
2016-11-04 12:06:32.00,2016-11-04 07:06:32.00,130.4498571753502,46.800215,-92.113236,5,352.1641235351562,3,164.3366238466169,0.949999988079071,1.224430109387663,267.5390625,249.4347839355469,250.3620758056641,20,44.49878953047654
2016-11-04 12:06:35.15,2016-11-04 07:06:35.15,130.4498571753502,46.800215,-92.113236,5,351.879638671875,3,164.3366238466169,0.949999988079071,1.118022598321381,267.5390625,249.4347839355469,250.3620758056641,20,44.49878953047654
2016-11-04 12:06:36.00,2016-11-04 07:06:36.00,134.4498569965363,46.800206,-92.113302,5,351.837646484375,3,169.5039535302306,1.120000004768372,1.118022598321381,252.0703125,256.5271911621094,257.4544982910156,20,36.35691294442038
2016-11-04 12:06:41.00,2016-11-04 07:06:41.00,139.4498575329781,46.800184,-92.113379,5,351.7801513671875,3,175.8667771171044,1.139999985694885,1.118022598321381,252.0703125,244.6020050048828,245.529296875,20,62.82853837363163
2016-11-04 12:06:45.00,2016-11-04 07:06:45.00,143.4498574733734,46.800175,-92.113444,5,351.9256591796875,3,180.9147324026878,0.9800000190734863,1.118022598321381,252.0703125,242.7027130126953,243.6300048828125,20,169.3573756999386
2016-11-04 12:06:49.00,2016-11-04 07:06:49.00,147.4498571753502,46.800157,-92.113507,5,351.0655517578125,3,186.1090866856584,1.059999942779541,1.118022598321381,243.984375,233.6807098388672,234.6080017089844,20,168.2029264843831
2016-11-04 12:06:50.16,2016-11-04 07:06:50.16,147.4498571753502,46.800157,-92.113507,5,351.0655517578125,3,186.1090866856584,1.059999942779541,1.027138350286305,243.984375,233.6807098388672,234.6080017089844,20,168.2029264843831
2016-11-04 12:06:53.00,2016-11-04 07:06:53.00,151.4498578310013,46.800125,-92.113562,5,352.3607177734375,3,191.6083774261873,1.029999971389771,1.027138350286305,217.6171875,232.7940216064453,233.7213134765625,20,52.70140181500652
2016-11-04 12:06:57.00,2016-11-04 07:06:57.00,155.4498578310013,46.800096,-92.113619,5,352.1361083984375,3,197.0215812384247,0.9100000262260437,1.027138350286305,232.03125,250.087890625,251.0151824951172,20,47.48578977729214
2016-11-04 12:07:01.00,2016-11-04 07:07:01.00,159.4498565196991,46.800077,-92.113679,5,352.0585327148438,3,202.0900730856068,0.9800000190734863,1.027138350286305,236.25,247.8423614501953,248.7696533203125,20,50.22163117227937
2016-11-04 12:07:05.16,2016-11-04 07:07:05.16,159.4498565196991,46.800077,-92.113679,5,351.6446533203125,3,202.0900730856068,0.9800000190734863,1.069511498297895,236.25,247.8423614501953,248.7696533203125,20,50.22163117227937
2016-11-04 12:07:06.00,2016-11-04 07:07:06.00,164.4498582482338,46.800056,-92.113756,5,351.856689453125,4,208.3728939125502,1.159999966621399,1.069511498297895,248.90625,249.3821868896484,250.3094787597656,20,1104.007157699
2016-11-04 12:07:10.00,2016-11-04 07:07:10.00,168.4498572349548,46.800033,-92.113813,5,352.7093505859375,4,213.4520675246832,1.080000042915344,1.069511498297895,259.1015625,243.6657562255859,244.5930480957031,20,292.8878663672785
2016-11-04 12:07:14.00,2016-11-04 07:07:14.00,172.4498578310013,46.800017,-92.113876,5,354.1160278320312,3,218.5569631269955,1.049999952316284,1.069511498297895,261.5625,250.5523681640625,251.4796600341797,20,40.50777039117607
2016-11-04 12:07:19.00,2016-11-04 07:07:19.00,177.449857711792,46.799996,-92.113949,5,353.7939453125,3,224.6038829203812,0.9599999785423279,1.069511498297895,248.5546875,255.3473968505859,256.2746887207031,20,22.9944134943086
