Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2016-10-01 13:25:04.52,2016-10-01 08:25:04.52,144.0249806642532,46.800413,-92.111347,5,346.0198631286621,3,177.0383646029461,1.210000038146973,1.130973943281708,81.5625,76.35532379150391,77.27703857421875,20,-34.43119324894358
2016-10-01 13:25:07.00,2016-10-01 08:25:07.00,149.0249808430672,46.800421,-92.111271,5,346.2160911560059,3,182.8878672439852,1.059999942779541,1.130973943281708,81.2109375,89.24169158935547,90.16340637207031,20,-19.66386654456062
2016-10-01 13:25:11.00,2016-10-01 08:25:11.00,153.0249809026718,46.800427,-92.111202,5,346.5127220153809,3,188.1547525909116,1.279999971389771,1.130973943281708,80.15625,77.62135314941406,78.54306793212891,20,-17.34423619785949
2016-10-01 13:25:16.00,2016-10-01 08:25:16.00,158.0249806046486,46.800435,-92.111125,5,346.4808006286621,3,194.093905070481,1.279999971389771,1.130973943281708,78.75,77.58113098144531,78.50284576416016,20,-20.84011359340672
2016-10-01 13:25:19.53,2016-10-01 08:25:19.53,158.0249806046486,46.800435,-92.111125,5,346.5909080505371,3,194.093905070481,1.279999971389771,1.208913745495018,78.75,77.58113098144531,78.50284576416016,20,-20.84011359340672
2016-10-01 13:25:21.00,2016-10-01 08:25:21.00,163.024981200695,46.800444,-92.111053,5,346.5520286560059,3,199.6965275657609,1.149999976158142,1.208913745495018,79.8046875,80.48954010009766,81.4112548828125,20,-38.47499834136169
2016-10-01 13:25:26.00,2016-10-01 08:25:26.00,168.0249803066254,46.800457,-92.110977,5,346.8633689880371,3,205.6622365925669,1.259999990463257,1.208913745495018,79.1015625,86.82581329345703,87.74752807617188,20,-91.43898695919947
2016-10-01 13:25:30.00,2016-10-01 08:25:30.00,172.0249803066254,46.800468,-92.110911,5,346.9598045349121,3,210.8243193670424,1.159999966621399,1.208913745495018,81.2109375,89.82364654541016,90.745361328125,20,-869.8109575349317
2016-10-01 13:25:34.53,2016-10-01 08:25:34.53,172.0249803066254,46.800468,-92.110911,5,346.5743064880371,3,210.8243193670424,1.159999966621399,1.182755326731907,81.2109375,89.82364654541016,90.745361328125,20,-869.8109575349317
2016-10-01 13:25:35.00,2016-10-01 08:25:35.00,177.0249811410904,46.800462,-92.110837,5,346.7166404724121,3,216.5204785864347,1.169999957084656,1.182755326731907,101.953125,111.0342178344727,111.9559326171875,20,92.22739281344487
2016-10-01 13:25:40.00,2016-10-01 08:25:40.00,182.0249815583229,46.800436,-92.110776,5,346.2073631286621,3,221.9851667045747,1.149999976158142,1.182755326731907,133.9453125,145.3293304443359,146.2510528564453,20,114.9546325900362
2016-10-01 13:25:46.00,2016-10-01 08:25:46.00,188.0249804258347,46.800405,-92.110727,5,345.8178367614746,3,227.055440408675,0.5,1.182755326731907,142.734375,163.5778198242188,164.4995422363281,20,-85.08838674657432
2016-10-01 13:25:49.53,2016-10-01 08:25:49.53,188.0249804258347,46.800405,-92.110727,5,346.0649070739746,3,227.055440408675,0.5,0.6233333349227905,142.734375,163.5778198242188,164.4995422363281,20,-85.08838674657432
2016-10-01 13:25:53.00,2016-10-01 08:25:53.00,195.0249801278114,46.800369,-92.110687,5,346.0181541442871,3,232.1114416743173,0.7699999809265137,0.6233333349227905,160.6640625,170.6407012939453,171.5624237060547,20,-53.71375242390123
2016-10-01 13:25:59.00,2016-10-01 08:25:59.00,201.0249812602997,46.800329,-92.110651,5,346.2674217224121,3,237.409960250688,0.8100000023841858,0.6233333349227905,160.6640625,155.6929779052734,156.6147003173828,20,-51.22021628122129
2016-10-01 13:26:04.52,2016-10-01 08:26:04.52,201.0249812602997,46.800329,-92.110651,5,345.6827659606934,3,237.409960250688,0.8100000023841858,0.8033333222071329,160.6640625,155.6929779052734,156.6147003173828,20,-51.22021628122129
2016-10-01 13:26:05.00,2016-10-01 08:26:05.00,207.0249814987183,46.800287,-92.110620,5,345.5321922302246,3,242.5580251234554,0.9100000262260437,0.8033333222071329,152.578125,160.7531433105469,161.6748657226562,20,-34.67945080057043
2016-10-01 13:26:11.00,2016-10-01 08:26:11.00,213.0249809622765,46.800247,-92.110579,5,344.6819725036621,3,248.0334469446987,0.6600000262260437,0.8033333222071329,130.78125,158.9051666259766,159.8268890380859,20,-21.0839947656983
2016-10-01 13:26:16.00,2016-10-01 08:26:16.00,218.024788916111,46.800199,-92.110545,5,344.3103904724121,3,254.0120123030099,1.100000023841858,0.8033333222071329,140.2734375,150.6744995117188,151.5962219238281,20,-19.99013422683693
2016-10-01 13:26:19.52,2016-10-01 08:26:19.52,218.024788916111,46.800199,-92.110545,5,344.4174461364746,3,254.0120123030099,1.100000023841858,1.120000004768372,140.2734375,150.6744995117188,151.5962219238281,20,-19.99013422683693
2016-10-01 13:26:21.00,2016-10-01 08:26:21.00,223.0247605443001,46.800156,-92.110491,5,344.1139793395996,3,260.2515525631007,1.029999971389771,1.120000004768372,137.4609375,136.0559387207031,136.9776611328125,20,-19.08962962493288
2016-10-01 13:26:25.00,2016-10-01 08:26:25.00,227.0247289538383,46.800121,-92.110437,5,344.0729637145996,3,265.9246712225637,1.149999976158142,1.120000004768372,127.6171875,130.4506378173828,131.3723602294922,20,-17.34771139143418
2016-10-01 13:26:29.00,2016-10-01 08:26:29.00,231.0247750282288,46.800096,-92.110381,5,343.4599266052246,3,271.0779972769523,1.029999971389771,1.120000004768372,127.6171875,128.04150390625,128.9632263183594,20,-14.87206365195332
2016-10-01 13:26:34.00,2016-10-01 08:26:34.00,236.0247752666473,46.800072,-92.110312,5,342.7524681091309,3,276.9721121557246,1.450000047683716,1.120000004768372,128.3203125,122.4002914428711,123.3220062255859,20,-12.67770447980325
2016-10-01 13:26:34.52,2016-10-01 08:26:34.52,236.0247752666473,46.800072,-92.110312,5,342.7524681091309,3,276.9721121557246,1.450000047683716,1.207096922590837,128.3203125,122.4002914428711,123.3220062255859,20,-12.67770447980325
2016-10-01 13:26:38.00,2016-10-01 08:26:38.00,240.0247753858566,46.800044,-92.110251,5,342.6687278747559,3,282.5139449046345,1.100000023841858,1.207096922590837,127.96875,111.1154251098633,112.0371398925781,20,-13.08618038720334
2016-10-01 13:26:42.00,2016-10-01 08:26:42.00,244.0247743725777,46.800030,-92.110188,5,342.4374656677246,3,287.5984509839706,0.8799999952316284,1.207096922590837,127.96875,97.40578460693359,98.32749938964844,20,-15.68651027033992
2016-10-01 13:26:46.00,2016-10-01 08:26:46.00,248.0247755646706,46.800023,-92.110121,5,341.8880271911621,3,292.7797464489552,1.190000057220459,1.207096922590837,91.0546875,104.5722427368164,105.4939575195312,20,-16.64215458665858
2016-10-01 13:26:49.52,2016-10-01 08:26:49.52,248.0247755646706,46.800023,-92.110121,5,342.0068016052246,3,292.7797464489552,1.190000057220459,1.213083521348264,91.0546875,104.5722427368164,105.4939575195312,20,-16.64215458665858
2016-10-01 13:26:50.00,2016-10-01 08:26:50.00,252.0247752666473,46.800017,-92.110047,5,342.0755882263184,3,298.4488831337158,1.070000052452087,1.213083521348264,92.109375,94.96435546875,95.88607025146484,20,-16.76731350059895
2016-10-01 13:26:55.00,2016-10-01 08:26:55.00,257.0247747302055,46.800020,-92.109970,5,341.8692283630371,3,304.3215033828562,1.110000014305115,1.213083521348264,94.21875,92.85372924804688,93.77544403076172,20,-17.83849654836117
2016-10-01 13:27:00.00,2016-10-01 08:27:00.00,262.0247747302055,46.800024,-92.109894,5,341.6835594177246,3,310.150896607156,1.159999966621399,1.213083521348264,86.484375,85.67512512207031,86.59683990478516,20,-19.79690539837337
2016-10-01 13:27:04.52,2016-10-01 08:27:04.52,262.0247747302055,46.800024,-92.109894,5,341.7884178161621,3,310.150896607156,1.159999966621399,1.087385293141931,86.484375,85.67512512207031,86.59683990478516,20,-19.79690539837337
